"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEPTIN14P14",0.968008380255092,-0.744494191218971,3.12719956596086,-0.238070572573202,0.811826358300495,NA
"LOC100288069",42.4096516322296,-0.277209876888609,0.423194961282973,-0.655040589444189,0.512441621268078,0.698147176061283
"LINC01409",5.86390271682441,1.91635754488055,1.13244806309564,1.69222554864197,0.0906029769977699,0.212860720803767
"FAM87B",4.16650574339498,0.109082335800262,1.60408543492368,0.0680028216860232,0.945783388105634,0.971660015243907
"LINC00115",5.7755767358964,-0.781344268315694,1.15495175149722,-0.676516804535603,0.49871258041884,0.686637448371174
"LINC01128",251.91975571753,0.602779896624121,0.187663419926862,3.21202659985118,0.00131802171240928,0.00718500994419511
"LOC107984850",0.308138931133379,-1.63865629677628,4.03712091490858,-0.405897254829531,0.684818095181176,NA
"FAM41C",0,NA,NA,NA,NA,NA
"TUBB8P11",0.308138931133379,-1.63865629677628,4.03712091490858,-0.405897254829531,0.684818095181176,NA
"LOC284600",3.49466378923534,-1.9345600619963,1.73221442196671,-1.11681327522943,0.264074171536848,NA
"LINC02593",1.43191950271313,-1.56039990792992,2.3023685843776,-0.677736796148885,0.497938591524377,NA
"LOC107985728",0,NA,NA,NA,NA,NA
"SAMD11",18.9658615057291,0.0525907947604766,0.708081568694679,0.0742722266552224,0.940793775896505,0.969129212318167
"NOC2L",3388.83700216084,0.197650707864487,0.0778867692988607,2.53766730400741,0.0111594014549255,0.041381048660937
"KLHL17",91.6737439729002,0.436099863883598,0.308479934951903,1.41370576971754,0.157448310580063,0.319056645925239
"PLEKHN1",62.1732782856954,0.0982111303556486,0.342986893874386,0.2863407672703,0.77461713688915,0.879042683108046
"PERM1",5.52310615100496,-0.817755594313315,1.37547429038843,-0.594526266341471,0.552160179648855,0.729275602721681
