"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","difflabel"
"ATOH1",0.52318104117728,-2.29029094290787,3.97619876251887,-0.576000114606193,0.564615104128383,NA,"NO",NA
"LOC101929210",0,NA,NA,NA,NA,NA,"NO",NA
"HMGB3P15",0,NA,NA,NA,NA,NA,"NO",NA
"SMARCAD1",936.069177718173,-0.96226681123672,0.461527044749915,-2.08496299877321,0.0370726593401786,0.173461307679327,"NO",NA
"HPGDS",1.13190955043373,1.78756546885722,3.2058138919742,0.557601136276941,0.577116780395842,NA,"NO",NA
"RPL35AP11",0,NA,NA,NA,NA,NA,"NO",NA
"PDLIM5",3657.26311870617,0.0162671986177689,0.183766812308821,0.0885208728028203,0.929462695360424,0.968141990414334,"NO",NA
"BMPR1B-DT",0.108789878730637,1.38822421871832,4.0699551612266,0.341090789388435,0.733035234915089,NA,"NO",NA
"BMPR1B",7.48487415038643,1.27977462911453,0.939612256110878,1.36202419752548,0.173190248760607,0.403880240989791,"NO",NA
"UNC5C",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377335",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377337",0.263977675748233,1.59888307817134,4.06328542880248,0.393495142339178,0.693953811093511,NA,"NO",NA
"PDHA2",0,NA,NA,NA,NA,NA,"NO",NA
"RNU6-34P",0,NA,NA,NA,NA,NA,"NO",NA
"LOC100418701",0,NA,NA,NA,NA,NA,"NO",NA
"LINC02267",0,NA,NA,NA,NA,NA,"NO",NA
"COX7A2P2",0,NA,NA,NA,NA,NA,"NO",NA
"STPG2",2.65851471522311,1.20403858703274,1.87659732025198,0.641607325151175,0.52112817561528,0.731250657905026,"NO",NA
"STPG2-AS1",1.1348355285755,3.87713884313257,3.18040206213997,1.21907191838625,0.222816897137889,NA,"NO",NA
"RPL5P12",0.563490298370362,-2.38979428965113,3.97160942733016,-0.601719361729289,0.547360959650241,NA,"NO",NA
"DUTP8",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377340",0,NA,NA,NA,NA,NA,"NO",NA
"RAP1GDS1",863.138076908356,-0.377090850100131,0.198964747899366,-1.89526463396852,0.0580573510603068,0.222845810749205,"NO",NA
"RPL21P48",1.31242211545415,4.07605231866601,3.0516737067273,1.33567763476171,0.181654662609553,NA,"NO",NA
"TSPAN5",43.5932024141292,-0.049955222741149,0.493411099148027,-0.101244627101836,0.919356271392801,0.964173126189462,"NO",NA
"LOC112267901",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377342",0,NA,NA,NA,NA,NA,"NO",NA
"LOC107986231",0,NA,NA,NA,NA,NA,"NO",NA
"BTF3P13",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377343",6.21214065273624,1.41330368895503,1.10925751529859,1.27409881786971,0.20262839733329,0.441292413055966,"NO",NA
"EIF4E",2485.3551435594,-0.787729793073562,0.27423166557777,-2.87249757030764,0.00407241210531237,0.0510783887423505,"NO",NA
"TBCAP3",1.5082203872034,3.18805656023897,2.28337909498724,1.39620116836393,0.162653924986296,NA,"NO",NA
"NDUFS5P4",0,NA,NA,NA,NA,NA,"NO",NA
"METAP1",2552.72226594779,-0.69152960939902,0.254439771043771,-2.71785187733115,0.0065707246344897,0.0676304713318985,"NO",NA
"MIR3684",1.64785835349794,4.41485332275293,2.84366578204692,1.5525218718126,0.120537403490164,NA,"NO",NA
"ABT1P1",0.900722905975336,3.54107910649475,3.43465560298126,1.03098520370459,0.302547758486617,NA,"NO",NA
"ADH5",2364.97948342111,-0.456615380376399,0.196199759763852,-2.32729836634859,0.0199493906690093,0.123412344564303,"NO",NA
"LOC100507053",10.344115343752,1.43472785972794,1.18603487063321,1.20968438218175,0.226400024981378,0.467503158391943,"NO",NA
"ADH4",21.5807155702612,-0.402799887816844,0.665439874902504,-0.605313722559622,0.54497056523866,0.750045518025551,"NO",NA
"PCNAP1",0,NA,NA,NA,NA,NA,"NO",NA
"ADH6",85.2716376781838,-0.796421272615752,0.355346293136925,-2.24125392046476,0.0250096319281536,0.140067094068692,"NO",NA
"ADH1A",0,NA,NA,NA,NA,NA,"NO",NA
"ADH1B",0,NA,NA,NA,NA,NA,"NO",NA
"ADH1C",12.0907858614476,-0.920046991601624,0.812053256106053,-1.13298848897352,0.2572190873225,0.501368847933789,"NO",NA
"LOC102723576",0.217579757461274,1.90962687844689,4.05481091811891,0.470953372921466,0.637674032345537,NA,"NO",NA
"ADH7",0,NA,NA,NA,NA,NA,"NO",NA
